"dbms","casestudy","criterion","datagenerator","randomseed","testsuitefile","coverage","evaluations","tests","mutationpipeline","scorenumerator","scoredenominator","technique","transactions","testgenerationtime","mutantgenerationtime","originalresultstime","mutationanalysistime","timetaken"
"Postgres","Inventory","ClauseAICC+AUCC+ANCC","avsDefaults",22,NA,100,100,16,"AllOperatorsNoFKANormalisedWithClassifiers",17,21,"mutantTiming","true",761,150,439,9367,10734
"Postgres","JWhoisServer","ClauseAICC+AUCC+ANCC","avsDefaults",22,NA,100,1822,152,"AllOperatorsNoFKANormalisedWithClassifiers",140,190,"mutantTiming","true",4867,2375,3999,674176,685433
"Postgres","MozillaExtensions","ClauseAICC+AUCC+ANCC","avsDefaults",22,NA,100,3529,226,"AllOperatorsNoFKANormalisedWithClassifiers",298,364,"mutantTiming","true",7422,7068,6240,2145063,2165808
"Postgres","NistXTS749","ClauseAICC+AUCC+ANCC","avsDefaults",22,NA,100,324,37,"AllOperatorsNoFKANormalisedWithClassifiers",21,26,"mutantTiming","true",1712,214,1284,29203,32427
"Postgres","Products","ClauseAICC+AUCC+ANCC","avsDefaults",22,NA,97.8723404255319,106995,46,"AllOperatorsNoFKANormalisedWithClassifiers",41,53,"mutantTiming","true",7304,492,1839,75470,85123
"Postgres","RiskIt","ClauseAICC+AUCC+ANCC","avsDefaults",22,NA,100,3353,245,"AllOperatorsNoFKANormalisedWithClassifiers",186,209,"mutantTiming","true",12593,4998,11021,1923665,1952293
"Postgres","StudentResidence","ClauseAICC+AUCC+ANCC","avsDefaults",22,NA,100,200,30,"AllOperatorsNoFKANormalisedWithClassifiers",34,40,"mutantTiming","true",1471,315,1009,33524,36343
"Postgres","UnixUsage","ClauseAICC+AUCC+ANCC","avsDefaults",22,NA,100,1456,147,"AllOperatorsNoFKANormalisedWithClassifiers",86,100,"mutantTiming","true",11902,1066,10301,718826,742112
"Postgres","ArtistTerm","ClauseAICC+AUCC+ANCC","avsDefaults",23,NA,100,132,40,"AllOperatorsNoFKANormalisedWithClassifiers",20,26,"mutantTiming","true",2611,235,2222,49480,54564
"Postgres","BookTown","ClauseAICC+AUCC+ANCC","avsDefaults",23,NA,99.2537313432836,201165,266,"AllOperatorsNoFKANormalisedWithClassifiers",206,235,"mutantTiming","true",11790,4812,7482,1658998,1683094
"Postgres","BrowserCookies","ClauseAICC+AUCC+ANCC","avsDefaults",23,NA,100,18315,72,"AllOperatorsNoFKANormalisedWithClassifiers",75,85,"mutantTiming","true",5914,621,2728,204419,213698
"Postgres","Cloc","ClauseAICC+AUCC+ANCC","avsDefaults",23,NA,100,178,40,"AllOperatorsNoFKANormalisedWithClassifiers",30,30,"mutantTiming","true",1187,204,1094,27845,30344
"Postgres","DellStore","ClauseAICC+AUCC+ANCC","avsDefaults",23,NA,100,1669,177,"AllOperatorsNoFKANormalisedWithClassifiers",156,156,"mutantTiming","true",4709,1599,3966,577292,587580
"Postgres","Flights","ClauseAICC+AUCC+ANCC","avsDefaults",23,NA,100,25124,66,"AllOperatorsNoFKANormalisedWithClassifiers",42,48,"mutantTiming","true",6859,440,3059,88397,98770
"Postgres","Inventory","ClauseAICC+AUCC+ANCC","avsDefaults",23,NA,100,100,16,"AllOperatorsNoFKANormalisedWithClassifiers",17,21,"mutantTiming","true",830,149,432,9142,10569
"Postgres","JWhoisServer","ClauseAICC+AUCC+ANCC","avsDefaults",23,NA,100,1822,152,"AllOperatorsNoFKANormalisedWithClassifiers",140,190,"mutantTiming","true",4734,2367,3564,677589,688270
"Postgres","MozillaExtensions","ClauseAICC+AUCC+ANCC","avsDefaults",23,NA,100,3543,226,"AllOperatorsNoFKANormalisedWithClassifiers",298,364,"mutantTiming","true",7615,7049,5933,2149028,2169642
"Postgres","NistXTS749","ClauseAICC+AUCC+ANCC","avsDefaults",23,NA,100,362,37,"AllOperatorsNoFKANormalisedWithClassifiers",21,26,"mutantTiming","true",1729,210,1272,31132,34357
"Postgres","Products","ClauseAICC+AUCC+ANCC","avsDefaults",23,NA,97.8723404255319,103489,46,"AllOperatorsNoFKANormalisedWithClassifiers",40,53,"mutantTiming","true",7098,496,1835,77349,86795
"Postgres","RiskIt","ClauseAICC+AUCC+ANCC","avsDefaults",23,NA,100,3353,245,"AllOperatorsNoFKANormalisedWithClassifiers",186,209,"mutantTiming","true",12868,5052,11159,1921943,1951038
"Postgres","StudentResidence","ClauseAICC+AUCC+ANCC","avsDefaults",23,NA,100,200,30,"AllOperatorsNoFKANormalisedWithClassifiers",34,40,"mutantTiming","true",1586,313,1152,31173,34251
"Postgres","UnixUsage","ClauseAICC+AUCC+ANCC","avsDefaults",23,NA,100,1456,147,"AllOperatorsNoFKANormalisedWithClassifiers",86,100,"mutantTiming","true",11340,1062,10529,724842,747789
"Postgres","ArtistTerm","ClauseAICC+AUCC+ANCC","avsDefaults",24,NA,100,132,40,"AllOperatorsNoFKANormalisedWithClassifiers",20,26,"mutantTiming","true",2663,232,2283,48683,53876
